25, 18.350, 24.355, 27.358, 13.750, 0.001, 0.240
26, 12.398, 15.749, 17.014, 15.030, 0.008, 0.081
27, 2.876, 3.548, 7.223, 21.780, 0.056, 0.015
28, 0.400, 0.805, 0.359, 0.060, 0.008, 0.012
29, 1.035, 1.421, 0.620, 0.250, 0.047, 0.006
30, 0.174, 0.168, 0.562, 0.190, 0.047, 0.004
31, 25.455, 30.870, 11.772, 7.610, 0.006, 0.867
32, 8.812, 14.311, 7.321, 7.260, 0.031, 0.293
33, 3.250, 6.164, 3.108, 12.840, 0.184, 0.055
34, 0.457, 0.424, 0.154, 0.000, 0.031, 0.034
35, 0.000, 0.252, 0.267, 0.120, 0.152, 0.024
36, 0.000, 0.015, 0.242, 0.000, 0.160, 0.017
37, 13.148, 15.493, 4.856, 0.200, 0.008, 1.129
38, 6.196, 10.608, 3.020, 2.100, 0.045, 0.404
39, 1.337, 1.543, 1.282, 3.300, 0.231, 0.073
40, 0.000, 0.042, 0.064, 0.000, 0.046, 0.037
41, 0.000, 0.098, 0.110, 0.030, 0.188, 0.031
42, 0.000, 0.128, 0.100, 0.000, 0.203, 0.023
43, 2.970, 5.382, 2.584, 1.060, 0.006, 0.870
44, 0.437, 1.674, 1.607, 0.580, 0.041, 0.313
45, 0.663, 0.636, 0.682, 0.050, 0.184, 0.058
46, 0.000, 0.001, 0.034, 0.040, 0.043, 0.021
47, 0.000, 0.006, 0.059, 0.000, 0.143, 0.021
48, 0.000, 0.006, 0.053, 0.000, 0.156, 0.018
49, 0.809, 0.613, 0.256, 0.840, 0.000, 0.143
50, 2.115, 3.917, 2.144, 0.710, 0.007, 0.181
51, 0.580, 1.075, 0.227, 3.460, 0.083, 0.082
52, 0.000, 0.000, 0.151, 0.000, 0.006, 0.012
53, 0.144, 0.023, 0.000, 0.000, 0.071, 0.039
54, 0.000, 0.001, 0.000, 0.000, 0.059, 0.009
55, 1.363, 1.603, 0.189, 0.080, 0.002, 0.596
56, 3.027, 3.766, 1.577, 0.750, 0.029, 0.798
57, 1.699, 1.483, 0.167, 2.200, 0.349, 0.347
58, 0.000, 0.054, 0.111, 0.000, 0.024, 0.048
59, 0.000, 0.145, 0.000, 0.000, 0.303, 0.161
60, 0.000, 0.000, 0.000, 0.000, 0.243, 0.042
61, 1.385, 1.614, 0.105, 0.000, 0.003, 0.941
62, 1.394, 2.153, 0.878, 0.240, 0.049, 1.322
63, 0.284, 1.407, 0.093, 1.230, 0.578, 0.576
64, 0.000, 0.002, 0.062, 0.000, 0.037, 0.069
65, 0.000, 0.006, 0.000, 0.000, 0.507, 0.251
66, 0.000, 0.000, 0.000, 0.000, 0.387, 0.068
67, 0.301, 1.138, 0.022, 0.000, 0.004, 0.997
68, 1.921, 0.661, 0.186, 0.250, 0.059, 1.518
69, 0.462, 0.325, 0.020, 0.030, 0.735, 0.722
70, 0.128, 0.000, 0.013, 0.000, 0.040, 0.066
71, 0.000, 0.000, 0.000, 0.000, 0.636, 0.278
72, 0.000, 0.000, 0.000, 0.000, 0.465, 0.071
